title,description,difficulty,category,topic,examples,constraints,time_complexity,space_complexity
Find Minimum in Rotated Sorted Array,Find the minimum in a rotated sorted array.,Medium,Binary Search,Array,"[{""input"": ""nums=[3,4,5,1,2]"", ""output"": ""1""}]",1 <= n <= 5000,O(log n),O(1)
Linked List Cycle,Detect if a linked list has a cycle.,Easy,Linked List,Linked List,"[{""input"": ""head=[3,2,0,-4]"", ""output"": ""true""}]",0 <= nodes <= 10^4,O(n),O(1)
Merge Two Sorted Lists,Merge two sorted linked lists.,Easy,Linked List,Linked List,"[{""input"": ""l1=[1,2,4], l2=[1,3,4]"", ""output"": ""[1,1,2,3,4,4]""}]",0 <= nodes <= 50,O(n+m),O(1)
Level Order Traversal,Return level order traversal of a tree.,Medium,Trees,Binary Tree,"[{""input"": ""root=[3,9,20]"", ""output"": ""[[3],[9,20]]""}]",0 <= nodes <= 2000,O(n),O(n)
Validate Binary Search Tree,Determine if a tree is a valid BST.,Medium,Trees,Binary Tree,"[{""input"": ""root=[2,1,3]"", ""output"": ""true""}]",1 <= nodes <= 10^4,O(n),O(h)
Kth Smallest Element in a BST,Find the kth smallest value in a BST.,Medium,Trees,Binary Tree,"[{""input"": ""root=[3,1,4], k=1"", ""output"": ""1""}]",1 <= k <= n,O(n),O(h)
Number of Islands,Count the number of islands in a 2D grid.,Medium,Graphs,Matrix,"[{""input"": ""grid=[[1,1,0],[1,1,0],[0,0,0]]"", ""output"": ""1""}]","m, n <= 300",O(m*n),O(m*n)
Clone Graph,Deep copy an undirected graph.,Medium,Graphs,Graph,"[{""input"": ""adjList=[[2,4],[1,3]]"", ""output"": ""[[2,4],[1,3]]""}]",0 <= nodes <= 100,O(V+E),O(V)
Course Schedule,Determine if you can finish all courses.,Medium,Graphs,Graph,"[{""input"": ""num=2, pre=[[1,0]]"", ""output"": ""true""}]",1 <= courses <= 2000,O(V+E),O(V+E)
Pacific Atlantic Water Flow,Find cells that can flow to both oceans.,Medium,Graphs,Matrix,"[{""input"": ""heights=[[1,2],[2,1]]"", ""output"": ""[[0,0],[0,1],[1,0],[1,1]]""}]","m, n <= 200 ",O(m*n),O(m*n)
Climbing Stairs,Count ways to reach the top of n stairs.,Easy,Dynamic Programming,DP,"[{""input"": ""n=3"", ""output"": ""3""}]",1 <= n <= 45,O(n),O(1)
Coin Change,Find fewest coins to make an amount.,Medium,Dynamic Programming,DP,"[{""input"": ""coins=[1,2,5], amount=11"", ""output"": ""3""}]",0 <= amount <= 10^4,O(n*amount),O(amount)
Longest Increasing Subsequence,Find length of the longest increasing subsequence.,Medium,Dynamic Programming,DP,"[{""input"": ""nums=[10,9,2,5,3]"", ""output"": ""3""}]",1 <= n <= 2500,O(n^2),O(n)
Word Break,Check if string can be segmented into words.,Medium,Dynamic Programming,DP,"[{""input"": ""s=""leetcode"", words=[""leet"",""code""]"", ""output"": ""true""}]",1 <= s.length <= 300,O(n^3),O(n)
House Robber,Find max money you can rob without alerting police.,Medium,Dynamic Programming,DP,"[{""input"": ""nums=[1,2,3,1]"", ""output"": ""4""}]",1 <= n <= 100,O(n),O(1)
Merge K Sorted Lists,Merge k sorted linked lists.,Hard,Linked List,Heap,"[{""input"": ""lists=[[1,4,5],[1,3,4]]"", ""output"": ""[1,1,3,4,4,5]""}]",0 <= k <= 10^4,O(N log k),O(k)
Trapping Rain Water,Calculate trapped rain water in elevation map.,Hard,Two Pointers,Array,"[{""input"": ""height=[0,1,0,2]"", ""output"": ""1""}]",1 <= n <= 2*10^4,O(n),O(1)
Median of Two Sorted Arrays,Find the median of two sorted arrays.,Hard,Binary Search,Array,"[{""input"": ""n1=[1,3], n2=[2]"", ""output"": ""2.0""}]","0 <= m,  n <= 1000 ","O(log(min(m,n))) ",O(1)
